establishment_id,codigo_deis,servicio_salud,tipo_establecimiento,dependencia,nombre_oficial,comuna,via,numero,direccion,region,source_url,fetched_at
est_3757e099ae71c5be,117423,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Monte Blanco,SAN CARLOS,Calle,S/N,Aldea Monte Blanco,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_8c29bb71eb6a76f9,117425,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Las Raíces,BULNES,Calle,S/N,Caserío Las Raíces,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_72e665ac2cec92df,117427,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Nueva Aldea,RÁNQUIL,Calle,S/N,Caserío Nueva Aldea,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_674222c1b64d00e1,117430,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Cartago,PEMUCO,Calle,S/N,Sector Cartago,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_68542b1d4e46293d,117431,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Gral. Cruz,PEMUCO,Calle,S/N,Aldea General Cruz,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_a8fb4eede51e4cbe,117433,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural El Sauce (Ninhue),NINHUE,Calle,S/N,Sector El Sauce,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_88788100161a807d,117434,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Los Remates,QUIRIHUE,Calle,S/N,Sector Los Remates,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_4d500ec5a1edd70a,117435,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Trehualemu,EL CARMEN,Calle,S/N,Sector Trehualemu,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_f4e377af9571661a,117436,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Pedregal de Zapallar,EL CARMEN,Calle,S/N,Caserío de Zapallar - Pedregal,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_53279cb89bb368c6,117437,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural San Vicente (El Carmen),EL CARMEN,Calle,S/N,Sector San Vicente,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_1474cf6b5eb91825,117438,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Huemul,EL CARMEN,Calle,S/N,Sector Huemul,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_cd7a838c4e5009d6,117439,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Ranguelmo,COELEMU,Calle,S/N,Aldea de Ranguelmo,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_9caadf373a792abc,117442,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Guarilihue,COELEMU,Calle,S/N,Aldea de Guarilihue Bajo,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_e6260a028df3897f,117443,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Boca Itata,TREGUACO,Calle,S/N,Sector Boca Itata,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
